From,To,Year,Weight
6792,7137,1986,1
6794,6848,1986,1
6794,6794,1986,1
6794,7899,1986,1
6798,8244,1986,1
6799,8113,1986,1
6799,6805,1986,1
6800,6804,1986,1
6801,7980,1986,1
6801,6796,1986,1
6803,8226,1986,1
6804,6804,1986,1
6804,6807,1986,1
6805,8189,1986,1
6810,7298,1986,1
6812,7943,1986,1
6813,7615,1986,1
8113,8114,1986,1
7615,7939,1986,1
7617,7042,1986,1
7882,6892,1986,1
8484,6930,1986,1
7132,6814,1986,1
8189,7371,1986,1
6785,7010,1987,1
6785,6798,1987,1
6931,7137,1987,1
7956,8023,1987,1
6933,7743,1987,1
8505,6869,1987,1
8507,8506,1987,1
6891,6940,1987,1
8298,8299,1987,1
6781,6848,1987,1
6781,6782,1987,1
6783,6817,1987,1
6783,6813,1987,1
6784,6848,1987,1
6787,7377,1987,1
6788,7361,1987,1
6789,8342,1987,1
6790,7081,1987,1
7303,6869,1987,1
6792,8171,1987,1
6794,6794,1987,1
6794,6795,1987,1
6794,6782,1987,1
6794,6815,1987,1
6795,6800,1987,2
6795,6795,1987,1
6795,8317,1987,1
6795,6823,1987,1
6807,7992,1987,1
6807,6812,1987,1
6798,7747,1987,1
6800,6848,1987,1
6800,6795,1987,1
6800,6869,1987,2
6800,7839,1987,1
6801,6800,1987,1
6804,6891,1987,1
6804,7367,1987,1
6804,7255,1987,1
6805,7948,1987,1
6806,7382,1987,1
6810,6812,1987,1
6810,6810,1987,1
6810,6931,1987,1
6810,6791,1987,1
6810,6879,1987,1
6813,7368,1987,1
6817,8120,1987,1
6818,7042,1987,1
6824,7162,1987,1
6791,8264,1987,1
6791,6783,1987,1
10943,6970,1987,1
6848,6848,1987,1
6848,7137,1987,2
6848,8221,1987,1
6819,6824,1987,1
7128,6802,1987,1
6879,6880,1987,1
6930,8485,1987,1
6892,7962,1987,1
6782,6817,1987,1
6782,6891,1987,1
6782,6782,1987,1
9022,7042,1987,1
8001,6970,1988,1
6794,6910,1988,1
6800,6848,1988,1
6802,6795,1988,1
6802,7134,1988,1
6806,7423,1988,1
6813,8020,1988,1
7326,8005,1988,1
8133,8134,1988,1
6816,7677,1988,1
8221,7900,1988,1
7466,7470,1988,1
7943,8233,1988,1
6781,7900,1988,1
6879,6891,1988,1
6848,8340,1988,1
6848,6791,1988,1
7618,7620,1988,1
8020,7430,1988,1
7128,7943,1988,1
7899,6782,1988,1
7904,7619,1988,1
7137,7027,1988,2
7042,7128,1988,1
6892,7883,1988,1
6900,7102,1988,1
6782,6818,1988,1
6783,7361,1988,1
6785,6818,1989,1
6785,7326,1989,1
6787,6783,1989,1
6953,6781,1989,2
7980,6814,1989,1
6794,6891,1989,1
6794,8477,1989,1
6794,12198,1989,1
6794,6807,1989,1
7137,6869,1989,1
8008,8009,1989,1
8506,8508,1989,1
8287,8288,1989,1
8299,6795,1989,1
6781,7985,1989,1
6781,8458,1989,1
6781,7540,1989,1
6781,6814,1989,1
6786,6932,1989,1
6789,7128,1989,1
6791,8330,1989,1
6795,6848,1989,1
6795,7394,1989,1
6795,8363,1989,1
6795,8329,1989,1
6795,6795,1989,2
6795,7884,1989,1
6797,7900,1989,1
6798,6848,1989,1
6798,8373,1989,1
6801,7273,1989,1
6804,6813,1989,1
6804,7143,1989,1
6805,8405,1989,1
6805,6783,1989,1
6806,8385,1989,1
6806,8437,1989,1
6807,6848,1989,1
6807,6803,1989,1
6807,8443,1989,1
6807,7615,1989,1
6810,7264,1989,1
6812,8490,1989,1
6812,6795,1989,1
6812,6783,1989,1
6782,6787,1989,1
6782,8446,1989,1
7839,7840,1989,1
6808,6993,1989,1
7367,7367,1989,1
6800,6848,1989,1
6800,6783,1989,1
6815,6830,1989,1
7619,6906,1989,1
8134,8135,1989,1
6809,6848,1989,1
9027,7884,1989,1
8229,7128,1989,1
6880,6881,1989,1
8171,8172,1989,1
8254,7436,1990,1
6781,6848,1990,2
6781,7361,1990,1
6781,8197,1990,1
6781,7368,1990,1
6781,7273,1990,1
6781,9055,1990,1
6781,7980,1990,1
6781,7855,1990,1
6782,6848,1990,2
6782,6869,1990,1
6782,6805,1990,1
6784,6800,1990,1
6785,6892,1990,1
6785,6838,1990,1
6787,6953,1990,1
6787,6807,1990,1
6789,9096,1990,1
6789,7128,1990,1
6789,8555,1990,1
6791,9385,1990,1
6791,9849,1990,1
6792,6794,1990,1
6794,6792,1990,1
6794,7490,1990,1
6794,8356,1990,1
6794,8389,1990,1
6795,6848,1990,2
6795,7394,1990,1
6795,7724,1990,1
6795,6810,1990,1
6795,6795,1990,1
6795,7900,1990,1
6798,8389,1990,1
6799,6794,1990,1
6800,7962,1990,1
6800,6869,1990,1
6800,8406,1990,1
6802,7266,1990,1
6802,9058,1990,1
6803,8412,1990,1
6804,6848,1990,1
6804,6809,1990,1
6804,7900,1990,1
6804,6933,1990,2
6804,6892,1990,1
6805,6848,1990,1
6805,8254,1990,1
6806,6785,1990,1
6806,9817,1990,1
6806,7783,1990,1
6806,6953,1990,1
6806,8395,1990,1
6806,9389,1990,1
